Chart,Purpose,Element,Interactions,value
StoryMap,Learning,Time Slider,Tooltip,0.0714
StoryMap,Learning,Time Slider,Animation,0.1428
StoryMap,Learning,Bar Chart,Selecting,0.0714
StoryMap,Learning,Bar Chart,Highlighting,0.0714
StoryMap,Decision Making,Overview Map,Clicking,0.0104
StoryMap,Decision Making,Overview Map,Zooming,0.0104
StoryMap,Decision Making,Overview Map,Panning,0.0104
StoryMap,Decision Making,Overview Map,Tooltip,0.0104
StoryMap,Decision Making,Overview Map,Juxtaposition,0.0104
StoryMap,Decision Making,Overview Map,Linked views,0.0104
StoryMap,Decision Making,Overview Map,Map overlay,0.0104
StoryMap,Decision Making,Overview Map,Tooltip,0.0104
StoryMap,Decision Making,Choropleth Map,Clicking,0.01667
StoryMap,Decision Making,Choropleth Map,Selecting,0.01667
StoryMap,Decision Making,Choropleth Map,Highlighting,0.01667
StoryMap,Decision Making,Choropleth Map,Juxtaposition,0.01667
StoryMap,Decision Making,Choropleth Map,Tooltip,0.01667
StoryMap,Decision Making,Proportional Symbol Map,Clicking,0.01667
StoryMap,Decision Making,Proportional Symbol Map,Selecting,0.01667
StoryMap,Decision Making,Proportional Symbol Map,Highlighting,0.01667
StoryMap,Decision Making,Proportional Symbol Map,Juxtaposition,0.01667
StoryMap,Decision Making,Proportional Symbol Map,Tooltip,0.01667
StoryMap,Decision Making,Table,No,0.0833
StoryMap,Decision Making,Text,No,0.0833
StoryMap,Decision Making,Image,Zooming,0.0833
StoryMap,Decision Making,Matrix,No,0.0833
StoryMap,Decision Making,Time Slider,Animation,0.02778
StoryMap,Decision Making,Time Slider,Selecting,0.02778
StoryMap,Decision Making,Time Slider,Clicking,0.02778
StoryMap,Decision Making,Pie Chart,Tooltip,0.0833
StoryMap,Decision Making,Line Chart,Zooming,0.0833
StoryMap,Decision Making,Bar Chart,Zooming,0.0417
StoryMap,Decision Making,Bar Chart,Tooltip,0.0417
StoryMap,Decision Making,Toolbar,Clicking,0.0208
StoryMap,Decision Making,Toolbar,Selecting,0.0208
StoryMap,Decision Making,Toolbar,User Input,0.0208
